status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review,airline_name
Not Verified ,,Family Leisure,Economy Class,Manchester to Frankurt,December 2023,3.0,1.0,,,,1.0,1,no,4, Worst airline in the world. Flight was delayed 4 times for no apparent reason. Caused us to miss our connecting flight home. Arrived in the airport and there was no customer service agents available. Called customer relations and was hung up on twice. Will never use this airline again.,Lufthansa
✅ Trip Verified ,,Business,Economy Class,San Francisco to Munich ,December 2023,1.0,2.0,2.0,,,1.0,1,no,1,   Lufthansa has terrible customer service. I travel for business a ton and this is the worst customer service I have ever received. Their baggage policies are ridiculousp. The plane was uncomfortable. I will avoid Lufthansa like the plague moving forward.,Lufthansa
Not Verified ,,Solo Leisure,Economy Class,Toulouse to Belgrade,December 2023,1.0,1.0,,,,1.0,1,no,1,"  First cancelled flights, then delayed flights that lead to staying in the hotel for the night, when we waited 1h to get into hotel because of the number of people also waiting, all operated by Lufthansa, such a bad experience",Lufthansa
✅ Trip Verified ,,Couple Leisure,Business Class,Washington to Frankfurt,December 2023,5.0,5.0,5.0,,1.0,1.0,1,no,1, Our flight got canceled 4 times and they lost our luggage twice. So now our two week vacation is not closer to 1 week and we have no clothes to wear thanks to Lufthansa’s incompetence.,Lufthansa
✅ Trip Verified ,Boeing 747-8,Couple Leisure,Economy Class,Singapore to Frankfurt,August 2023,2.0,1.0,1.0,,,2.0,1,no,3,  I booked to fly with Singapore Airlines from Sydney to Frankfurt. The leg from Singapore to Frankfurt was operated by Lufthansa. To arrange preferred seating on this leg i had to contact Lufthansa direct and pay $60 Australian for each of the 2 seats on the ticket. My preferred seating was then seen on my pre flight schedule. At the airport in Sydney the seating was different to that ordered with them. The ground staff told me that this to do with Lufthansa. I was seated in different seats for the Lufthansa leg. Now the airline is doing its best to run me around and not give me a refund for the $120 I paid to them whilst they did not deliver the seating i paid for. The flight was terrible. My food was inedible Service was almost non existent. ,Lufthansa
✅ Trip Verified ,,Family Leisure,Economy Class,Ankara to San Francisco via Munich,November 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," I had a flight to San Francisco from Ankara via Munich,  due to heavy snow at Munich airport the flight is diverted to Izmir and after 4 hours there was another flight to Munich but the connecting flight to Munich was missed and the management don’t care about it. They made me wait for 48 hours at the airport until they arranged my ticket for the next flight. I can say that it’s my last time I will ever fly with this airline with very poor management and zero responsibility against their customers.",Lufthansa
✅ Trip Verified ,,Business,Economy Class,Tallinn to Prague via Frankfurt ,November 2023,1.0,3.0,,1.0,1.0,2.0,1,no,1," Don't know the plane, but they changed the type of plane minutes before the flight. So 10 people may not have seats at all, and I had a leg space, but its canceled now.",Lufthansa
✅ Trip Verified ,,Couple Leisure,Business Class,Singapore to Malaga via Frankfurt,October 2023,3.0,5.0,5.0,3.0,5.0,1.0,3,no,2,"  Flight from Malaga to Frankfurt was cancelled and there was chaos at the airport. There was no instructions or call to help with rebooking. Then the system couldn't be updated by the counter staff, and they told us to call Lufthansa ourselves (but no one was picking up). By the time we rebooked our own flight, our flight was delayed by two days. Trying to process the compensation request resulted in multiple emails back and forth, and when they sent over the compensation - they only paid for one person when we had confirmed that they would compensate for 2. For two months, there was no response when I tried to get an email from them citing the cancellation reason because it was needed by my travel insurance company. Calling them was no use either, because the person on the line did not understand my request and said they only handled reservations. During the flight, the seat mechanism broke - so the air stewardess had to adjust it manually by hand. Their service was attentive and excellent. We flew business class, but the treatment by the customer (dis)service has been terrible. I will avoid Lufthansa in future - cancellations and delays seem guaranteed, and while they charge premium prices, they behave like a budget airline.",Lufthansa
✅ Trip Verified ,CRJ900,Business,Economy Class,Frankfurt to Birmingham,November 2023,3.0,1.0,1.0,,,3.0,1,no,5," I am flying a lot with Lufthansa and though I find their business class product pretty good (even if the seat on intercontinental flights is outdated), what is delivered in tourist class on European flights is simply a shame if not a true rip-off! One pays true premium prices and gets a low cost experience, except for a ridiculous small bottle of water and a chocolate. Buy on board experience is horrific, with little choice. Plus sales is done at incredibly slow pace. So, if yes I would in most cases recommend Lufthansa in Business Class, I must say their cabin experience in tourist class is below acceptable standards compared to what price you pay and this flight was no better at all!",Lufthansa
✅ Trip Verified ,Boeing 747-800,Business,Business Class,Sao Paolo to Frankfurt,November 2023,4.0,5.0,5.0,4.0,5.0,4.0,4,yes,8," Being in the upper deck of a 747 is always something special, even if Lufthansa’s business class seat is outdated. However comfortable seating and I had a solid six hours sleep on this 10 hours flight. Excellent crew in this flight, reasonable selection of drinks and good food.",Lufthansa
✅ Trip Verified ,Neo,Solo Leisure,Economy Class,Munich to Tbilisi,November 2023,1.0,1.0,1.0,1.0,1.0,4.0,1,no,4," First impressions ""organised"" professional BUT not so on board. It is promoted as a 4 star airline but the experience is budget. You pay for meals even on 3 hour plus flights but pay premium fare price. You get a small bottle of water and a small chocolate. On board, no attention to carry on board limits so later passengers lose out and told can have luggage stowed in cargo BUT no checking for batteries, laptops etc in the process. No assistance to find luggage space in the overhead lockers by my attendant. Told to find it myself. When I suggested the carry on excesses were an airline issue he dismissed the complaint. Not his problem. Collectively it is.​ Seating tight spacing for a large build nation's peoples. Boarding sequence good window seat, then middle seat then aisle. Some staff friendly and try to make it pleasant. I watched staff transacting a drink with the cart blocking the aisle while holding up a passenger who clearly urgently wanted to access the toilet, the staff only had to move half a meter forward but spent time ensuring the passenger knew they were ""BUSY"" and would finish the transaction before moving. The priorities are wrong if transactions are prioritised over customer service. I think that sums up the current ethos. Avoiding flying them in future.",Lufthansa
✅ Trip Verified ,,Solo Leisure,Economy Class,Berlin to Fort Lauderdale,November 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,2," I purchased a ticket for my Mom to spend Thanksgiving together from Berlin to Fort Lauderdale, with 1 stop in Newark. My mom came to the airport 2 hours before the flight but was not allowed on the plane because United and Lufthansa did not confirm something between each other. So, my mom missed her flight due to bad communication between 2 airlines-partners. Still dealing with this issue to get a refund or change the ticket. That is not professional at all. Lufthansa can't even find confirmation now even I have all emails from them confirming the flight.",Lufthansa
Not Verified ,,Couple Leisure,Economy Class,"New York to Frankfurt,",October 2023,1.0,4.0,3.0,4.0,3.0,2.0,1,no,2,"  I was greatly disappointed. The staff was good but the comfort level afforded passengers was appalling. The seats were sized to tiny bottomed people, with no thought to full figured people who seemed to be the majority on my flight. The distance between rows is ridiculous. There is insufficient room. The passenger in from of me reclined her seat totally and there was literally about 7 inches away from my face. I could not watch the screen because of the closeness and I could not pull my table down to the proper level. The Flight Attendant had to force the women to put her seat upright so I could eat. It was back down as soon as we were done. Getting up and getting out of the seat to the bathroom was ridiculous. And there were no individual air conditioning vents to adjust the temperature. The cabin temperature had one point had to be in the high 70s at least. It was singularly the most uncomfortable flight I have taken in 50 years. Very, very disappointing and did not start my long looked for vacation very good. Honestly I expected more from Lufthansa!",Lufthansa
✅ Trip Verified ,A321neo,Couple Leisure,Business Class,Cairo to Frankfurt,November 2023,1.0,2.0,1.0,,,1.0,1,no,1,"  The worst onboard service, the worst checkin, seat and worst boarding experience. The meal offered onboard was not matching the business class expectations. No champagne only sparkling wine and the cheapest one. My boarding passes did not work and the group staff did not print it again even though I have asked for. The online boarding passes did not work, I haven’t gotten any, it came always error message. The boarding was mess, not respecting the boarding sequence. Priority was not a thing for them. ",Lufthansa
✅ Trip Verified ,,Couple Leisure,Business Class,Frankfurt to Tokyo Haneda,November 2023,3.0,1.0,2.0,3.0,,2.0,2,no,2,"  Most of the staff was rude to me. Staff smacked my arm a few times while I was speaking to my husband, in order to get my attention and she told me I had to pick the bread she didn’t bring me earlier with the cheese, I felt that an “excuse me” would have been enough to get my attention.  She then proceeded to give me a frozen appetizer. She made a mess of the food choices and when I said I didn’t want to eat breakfast she didn’t ask me for a drink, ended up ordering everything to my husband’s side which was a much nicer and professional flight attendant. The flight is 14hrs and unpleasant purposely picked business to be a little more comfortable but the food was terrible, and they only had 3 Japanese meal choices per cart for a plane with over 80 business seats. Won’t be flying again, the seat comfort wasn’t bad but I don’t like the heart layout if you’re traveling with a stranger. Also you need to jump over someone’s bed if you want to go to the bathroom and have a window seat. In Tokyo it took 1 hr to get our bags.",Lufthansa
✅ Trip Verified ,Boeing 787,Couple Leisure,Economy Class,Frankfurt to Toronto,November 2023,3.0,2.0,3.0,3.0,1.0,1.0,1,no,1," Used to be a truly premium experience. Not anymore, boarding for a 1:15pm starts at 1pm, and only 1 out of 4 gates open, leading to boarding until 2pm. Crew just made a funny announcement that passengers are experiencing that they are delayed. In the aircraft all other airlines try to organize luggage in an efficient manner to get people to take the seat. Lufthansa just tells customers to find somewhere some space. For Ryanair this is perfectly fine, but not for an airline charging premium prices. Absolutely not understandable as other airlines - also western ones like UA, AA etc. manage such efficient operations and the German airline fails.",Lufthansa
✅ Trip Verified ,,Solo Leisure,Economy Class,Hamburg to Lisbon via Frankfurt,November 2023,2.0,2.0,,,,3.0,1,no,1," It is very sad to experience Lufthansa getting worse with their service and lack - of solution solving skills every time. For such a high amount, such a low service.. It is a true shame from the National Flag Carrier.",Lufthansa
Not Verified ,,Business,Business Class,Dublin to Kraków via Frankfurt,October 2023,4.0,5.0,3.0,,5.0,4.0,4,yes,10,   Good service throughout. Meals could be a bit more substantial. Cabin crew extremely polite. Aircraft was on time with plenty of time for connecting flight. All aircraft were clean and tidy.,Lufthansa
✅ Trip Verified ,,Business,Business Class,Madrid to Frankfurt,October 2023,1.0,2.0,1.0,1.0,1.0,4.0,1,no,1,"  I am shocked how much their service has deteriorated lately. I could not imagine how little space there was between the seats in business class! I am only 1.70m tall and I had to seat with my legs apart as it was impossible to keep them straight! The seats were terribly hard and thin. The food was terrible- müsli without yogurt, and old and hard roll, the milk for coffee was missing. The staff tried to talk in German only, limited effort to use English or other language despite many interactions that should make them aware that I speak English. In Frankfurt Airport I used Terminal B where the conditions are horrible- a small place additionally with some works, no lounge, however it is a terminal for other airlines group and alliance members! There were only two small bars opened. They sell you business class ticket within and then you cannot take advantage of the business class services in their biggest hub in Germany! Incredible!",Lufthansa
✅ Trip Verified ,,Business,Economy Class,Frankfurt to Budapest,October 2023,2.0,4.0,,1.0,1.0,1.0,1,no,1,"   They do the farce of Priority boarding which means you are first to enter the bus and wait to be carried to an outside position  I am a lifetime-Senator and used to be a brand ambassador, but that’s history. ",Lufthansa
Not Verified ,,Solo Leisure,Business Class,Munich to New York,August 2023,3.0,5.0,4.0,3.0,,3.0,1,no,2," Wating for luggage took more than 1 hour in Munich. It is a problem there always. Supposedly no personnel - they probably pay less than social welfare! No wonder. After waiting more than 1 hour suitcase was damaged badly. I waited in line for complaint. They took my data and I was promised a new suitcase as mine was heavily damaged. It is now almost November and nothing. They outsource that problem to Poland, and I complained several times in writing but nothing. Just delaying it more and more and it will lead into Nirvana. I had paid business class and now this. Shame on you! Will I ever fly LH again? No, never!! Incredible, no customer service at all and just lies!",Lufthansa
✅ Trip Verified ,A330-300,Business,Economy Class,Frankfurt to Riyadh,October 2023,1.0,1.0,1.0,1.0,,1.0,1,no,1,"  I am a Lufthansa Frequent Flyer Silver and will get to Senator Gold level by the end of 2023. About 65 intercontinental legs and ticket purchases of probably approaching 45,000 Euros in 18 months, let me tell you how this rubbish airline has rewarded me, a frequent flyer. They delayed luggage on 3 out of the last 6 flights. Yes that's right.  Lufthansa has not enabled my business life, but have instead destroyed it. How am I supposed to go and buy a replacement suit for a client meeting the next morning, when my flight arrives late at night? As Lufthansa has used and abused me, so I will use them: as soon as I make it to Senator, I will have Star Alliance Gold, and will switch airlines. Lufthansa management should get out of their offices and fly their own airline, Economy class, eating that same cold horrible fatty cheese sandwich, that tiny hot dinner that is so small it leaves you hungry, along with that icy cold bread roll that is harder than a baseball, and having their luggage delayed so often. ",Lufthansa
✅ Trip Verified ,A350-900,Couple Leisure,Business Class,Munich to Los Angeles,October 2023,2.0,5.0,4.0,1.0,1.0,4.0,2,no,3," I have never flown Lufthansa and had no preconception other than I thought it was a good airline to fly. Our trip was probably our 7th international business class vacation flight experience. I’ll begin by saying the flight attendants were very good and attentive. The food was good enough to not be critical. I was very disappointed with the business class seating arrangements on the 350-900. It didn’t feel special. Way too close to each other and the entertainment centre offered a very poor selection of movies and other options. The little goody bag was useless other than the earplugs. No eye covers. The internet was so spotty the $35.00 I paid was worthless. Going forward, Lufthansa will be the last airline I would choose and of course I’ll pay attention to the plane being used. We were supposed to fly home on the A380 but that was changed before we left.",Lufthansa
✅ Trip Verified ,,Family Leisure,Economy Class,Dublin to Belgrade via Munich,June 2023,2.0,5.0,1.0,1.0,,1.0,1,no,1,"   Our transit 2nd flight was canceled, they knew in advance it will be canceled, 1st one was delayed nearly 3 hours. 5 hours waiting in Munich in customer service area, waited 1 and half hour, they all closed their desk. Told us to go at another terminal, they didn't care. From 9 am to 9pm journey to get hotel and another flight the following day. We were flying in Europe. They refused to refund us. Never with Lufthansa.",Lufthansa
✅ Trip Verified ,A321,Couple Leisure,Business Class,Rome to Munich,October 2023,2.0,5.0,,,1.0,4.0,1,no,3,"   We booked a round trip business class trip from Los Angeles to Rome thru Munich and the return the same way. When we boarded in Rome for the return flight thru Munich we were on an A321 and were very disappointed in the business class experience. It consisted of coach seating with the middle seat empty. For what we paid, I would have chosen another airline. The flight attendants were very nice and accommodating. However, every passenger in the Business Class seating were grumbling with disappointment with what we got.",Lufthansa
✅ Trip Verified ,,Couple Leisure,Economy Class,Frankfurt to Washington,October 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1,"   This is by far the worst airline I’ve ever seen. Constant cancellations, extremely long wait times to speak with any representative and very rude representatives. I’ve been in customer service my whole life and I’m astonished the way they treat people. The people at the desk are laughing and talking amongst themselves while a line up of 50+ people wait because of constant delays. We were on our honeymoon and you guys completely ruined it. ",Lufthansa
Not Verified ,Boeing 747,Couple Leisure,Economy Class,Frankfurt to Toronto ,October 2023,1.0,3.0,2.0,2.0,2.0,1.0,1,no,1,"  Very disappointed in the service that Lufthansa gave us. We had a connecting flight from Venice to Frankfurt to pick up another flight from Frankfurt to Toronto because our flight was delayed. We missed our connecting flight. Went to Lufthansa customer service.to get rescheduled for a flight to Toronto had to stay overnight. In a hotel, the service representative promised us a upgraded seat because we missed our flight. She lied to me, had a regular economy seat. Very disappointed and how things turned out will never, ever fly Lufthansa again if possible worst airline ever.",Lufthansa
Not Verified ,A321,Couple Leisure,Business Class,Frankfurt to Baku,October 2023,3.0,5.0,5.0,2.0,1.0,5.0,5,yes,10,"  Before flight experience, I used Lufthansa's Business Lounge in B44, which was a great way to start my 5hrs segment to Baku. Food options are great, considering that one doesn't need to wait for food preparation, it will be refilled always. What I love about the food in the lounge is that they serve an indian dish such as Aloo Dum frequently and I really adore the taste! Also, the showers are cleaned well, very good facility to freshen up and they provide L'Occitane products in the lounge. Boarding from an Apron position and passengers had to wait inside the bus for about 10 mins, before pax could enter the aircraft. Aircraft seat was clean and the crew was fantastic, doing their jobs with dedicated and hard-working engagement to serve C pax well throughout the entire flights - with 12 rows in C on this flight. I felt really comfortable. Even though it was a 5hrs flight on a narrowbody A321 on that route, because of the service and the silence in the C cabin, I enjoyed my experience. I am not a fan of Tasting Heimat, but thats a matter of personal taste. Thus, I pre-ordered an Indian special meal ahead of the flight and it tasted great! Priority Luggage came among the very first luggage pieces on the carousel. Very happy with this. Con's: Wifi and lack of power outlets. However I read LH is working on equipping A320neo with those and bigger baggage compartments. Overall, I was really satisfied with choosing Lufthansa on this route and will do so again!",Lufthansa
✅ Trip Verified ,,Solo Leisure,Premium Economy,Frankfurt to Los Angeles,August 2023,2.0,2.0,3.0,5.0,2.0,2.0,3,no,3,"   Frankfurt to Los Angeles. Flight was nice. However, they lost one of my luggage and I still haven't gotten any notice of a refund after several attempts to contact them. ",Lufthansa
✅ Trip Verified ,A321,Business,Economy Class,Porto to Frankfurt,October 2023,2.0,2.0,1.0,1.0,1.0,2.0,2,no,3," I did not think Lufthansa was a no frills airline, but almost imperceptible seat recline, no device charging on the plane, and tiny overhead bins with smaller carry on requirements than other carriers I fly. Service on the plane is one small bottle of water. Coffee, tea, anything else, is available for a charge. ",Lufthansa
✅ Trip Verified ,Airbus 320,Solo Leisure,Economy Class,Frankfurt to Rijeka via Munich,September 2023,2.0,2.0,1.0,,,1.0,1,no,1,"   Frankfurt - Munich - Rijeka on Lufthansa, after a late arrival in Frankfurt from Zurich meant that I missed my connecting flight from Frankfurt to Rijeka. I was first told that I would have to fly the next day, which was completely false, as I showed customer service on my phone that I could connect through Munich later in the day. Crowded lounge in Frankfurt with lots of heavy German/Central European food, but not a single tasty thing to eat. My flight from Frankfurt to Munich was also very late, which meant that a second time that day I had to run to a departure gate not knowing if I would make the flight or not. I arrived in Rijeka seven hours late and didn't get my checked bag. None of the passengers who began their journey in Zurich that morning did, despite our six hour layover in Frankfurt which gave the airline ample time to retag luggage correctly. Every time passengers asked about our baggage being on the right flight we were brushed off. A useless airline with utterly incompetent customer service.",Lufthansa
Not Verified ,,Couple Leisure,Economy Class,Frankfurt to Baku,October 2023,1.0,1.0,1.0,1.0,2.0,1.0,1,no,1,"  Already problems at the counter with checking in the baggage. Lufthansa installs new baggage processing equipment every 3-5 years for whatever reason. The new system scanned our boarding card and did not print the baggage ticket for us to be able to check in the luggage. Then we went to the counter to perform the same process manually. Guess what the new baggage processing machine got stuck this time and was not able to process the luggage. Had to wait 20 mins for someone to come and manually solve the problem.  Nevertheless, we thought that should be it we can fly and not worry about the luggage but it was too soon for us to calm down. We land at the destination and our luggage is not there. So, if you have problem with this new ""automatic"" baggage submission process which in turn results in manual problem solution and baggage delay till at least the next flight. Unnecessary and too much automatization of something that already worked well and no real solution when the new system fails and that is on top of a Ryanair like flight experience in a travel of nearly 5 hours with sandwich and no entertainment on board. I wont fly this airline despite living close to its home base - Frankfurt. ",Lufthansa
✅ Trip Verified ,A321,Couple Leisure,Economy Class,Berlin to Frankfurt,September 2023,5.0,5.0,4.0,,,5.0,4,yes,9,"   My wife and I flew Lufthansa from Berlin to Frankfurt to catch Thai Airways to Bangkok. Unfortunately, The flight was delayed many times due to bad weather in Frankfurt from 15 minute to 1 hour. We were quite worried because we were afraid that we were not able to transfer to Thai Airways flight back to Bangkok in time because the time was quite limited. With the help and kindness of two young female ground staffs of Lufthansa at Berlin airport, they arranged the procedure of luggage to check-through for Thai Airways flight at Frankfurt which we were very much grateful to their service. The flight LH 195 itself was quite OK, the cabin staff were nice and efficient. The seat was quite comfort. We were happy that we can transfer to Thai Airways flight without problem. Many thanks to Lufthansa ground staff at Berlin airport.",Lufthansa
Not Verified ,A340,Couple Leisure,Economy Class,Frankfurt to Toronto via Newark,October 2023,3.0,3.0,3.0,,,1.0,1,no,1,"  The flight from Frankfurt to Toronto was cancelled. The alternative flight was to Newark and then to Toronto. Due to long lines at the US custom, luggage pick up (un planned), we lost flight to Toronto. We were told at the Lufthansa counter in Newark airport that is our fault as we had 2 hours available to go through US custom, pick up luggage, do check in, go through security and we should have made it. After arguing, Lufthansa recognized that they cancelled our original flight and we end up getting our tickets re-booked for the morning flight but did not get hotel voucher. ",Lufthansa
✅ Trip Verified ,,Solo Leisure,Economy Class,Mexico City to Munich,August 2023,2.0,3.0,2.0,2.0,,1.0,1,no,2," Worst experience I've had with a commercial airline. During the month I was traveling I had various flights with Lufthansa and each one of them had problems with delays or cancelations. The specific flight I'm reviewing now had a two hour delay and my suitcase didn't arrive at a direct flight with no connections. It has been 6 weeks now and it hasn't arrived. It's also impossible to contact the airline for information and online there is the same message since day one. Something like: ""congratulations you luggage has been found and is on its way to you"". I called multiple times and was always forwarded to other people until the connection broke off. To my emails I only get generic answers asking me to go to their website and fill out the same forms I already filled out and even with two visits at different airports I was unable to speak with someone who can give me any information whatsoever. At the counter they don't know anything and the office in Munich was closed on a weekday during business hours. Same thing in Mexico. Every budget airline I have used had better costumer service than Lufthansa and this is only a review of in total 5 flights this summer, of which only one had no major problems. Now I have to file for the compensation for the lost suitcase and with the experience I had until now with Lufthansa I'm sure this process will be a nightmare too. Hopefully I will never have to fly with this airline again.",Lufthansa
✅ Trip Verified ,A319,Business,Economy Class,Munich to Amsterdam,September 2023,3.0,3.0,2.0,,1.0,1.0,1,no,1,"  My last experience with Lufthansa was atrocious, 3 delays because they had no one to fly the plane. 2 hours & 55 min delay, so not the end of the world. When I arrived, the whole wheel and frame of my 6 month old 170 euro suitcase was snapped off, no one in the airport wanted to hear about it. I put an online feedback request in for assistance & was told a luggage repair service would contact me with in 3 days. I have been dragging the bag around with one wheel for 2 weeks now, no follow up just a passive aggressive tone from the customer service rep. I understand the baggage handlers are contractors, but Lufthansa are practically ignoring my requests for assistance. The wifi did not work for the flight. ",Lufthansa
✅ Trip Verified ,A320,Business,Business Class,Hanover to Munich,October 2023,1.0,3.0,4.0,,1.0,3.0,2,no,3,"  Very limited space. Hard to work with notebook in the Business Class. WLAN not included in the Business Class tarif. No pillows, no blanket. Same bus to terminal, waiting till to latest passengers entered the bus.",Lufthansa
Not Verified ,,Solo Leisure,Economy Class,,September 2023,3.0,3.0,2.0,1.0,1.0,1.0,1,no,1," Worst airline ever. Never fly with Lufthansa. I almost miss my connection because my first flight got canceled. Then on the way back, they cancelled my flight, the customer service was horrible and then the rebooked flight was delayed at least 45 minutes. Never use this company.",Lufthansa
Not Verified ,A350-900,Couple Leisure,Premium Economy,San Francisco to Munich,August 2023,5.0,5.0,5.0,5.0,,5.0,4,yes,9," Flew out of S.F. on Lufthansa premium economy and loved it. Extra leg room, silverware (Knife) which was weird, and orange juice as soon as you are seated - is this worth the extra 300 dollars a seat? Don't know but the leg room is great. I would do it again. Plus, our flight was suppose to leave at 2110hrs and exactly like German precision, 2110hrs we were backing up to the runway - same thing coming home from Munich. Suppose to leave at 4pm and pretty close 410pm we were on the runway taking off. I'd fly Lufthansa again. Oh, and food was pretty darn good. Pasta with cheese for dinner, and breakfast omelette for breakfast with coffee - not bad",Lufthansa
✅ Trip Verified ,,Solo Leisure,Economy Class,Belgrade to Miami,June 2023,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1," Can't believe Lufthansa canceled my return flight and refuses to give me a refund! Left stranded without a ticket to get back home, and now I have to shell out more cash for a new one. Talk about poor customer service! My initial roundtrip flight was booked a few months ago: Flight details: Belgrade to Frankfurt to Miami (coming into Miami) (round-trip) Total Cost: $764.60. Flight into Miami - there was an issue with the plane tyre and after spending hours stranded they decided to have us go on another flight to be able to get into Miami. After spending hours on the phone in the past few days with different representatives and being extremely frustrated, I was told to book another new ticket and pay again for it because my initial ticket was canceled.",Lufthansa
Not Verified ,,Business,Business Class,Bengaluru to Toronto via Frankfurt,September 2023,4.0,4.0,2.0,2.0,1.0,1.0,2,no,2,  We upgraded our ticket from premium to business and immediately logged back into Lufthansa to check and it clearly showed that 32 kgs x 2 is allowed baggage but we’re harassed at the airport and had to pay for additional weight. No access to lounge in Frankfurt and rude staff and information not provided during or after the upgrade. Worst airline and not flying again.,Lufthansa
Not Verified ,,Business,Economy Class,Frankfurt to Orlando,September 2023,2.0,1.0,1.0,2.0,1.0,3.0,1,no,2,"  Voluntarily, I will never choose this airline again. Here are the reasons why: - one meal on a 10.30 hours long flight - you need to pay for everything, exceptions is water and coca cola - extremely poor service and by that I mean, stewardesses gave us a glass of water like 5 times during such a long flight - no buttons nor possibility to call steward during whole flight - extreme cold, they were just crazy with air-conditioning and of course there is no ventilation which you can adjust - bought internet onboard so I can work, steward told me that there is no internet at all - why offer it on website if you don’t have this options? I wanted to upgrade my class, there is no possibility to do that neither get proper information about possibilities to do upgrade.",Lufthansa
✅ Trip Verified ,,Solo Leisure,Economy Class,Berlin to Munchen,September 2023,3.0,5.0,2.0,1.0,2.0,5.0,3,no,6, This is my third Lufthansa flight within 3 weeks. All 3 flights were delayed. The seats don’t have chargers for your electronics. A plastic water bottle is passed to each passenger whether they ask for one or not. (It is equally disappointing that 95% of the passengers take one). The crew was very friendly.,Lufthansa
✅ Trip Verified ,Boeing 747-8 ,Business,Business Class,Frankfurt to San Francisco,September 2023,4.0,4.0,4.0,1.0,2.0,4.0,4,yes,6,"  I like Lufthansa. They are a little cheaper than United on the same route and most of the time they are on time. The food and service is mechanical but efficient. I was excited to get a first look at Boeing 747-8 and thought seating on the double Decker would be fun! Alas! Who knew seating 'higher up' does not mean elevated experience. The business class seats at the upper deck are similar to down below, except it's 2-2 instead of 2-2-2 due to narrower space. The design of this business class (including lower deck) works for a couple but for people flying in business, does not make much sense. There are ample of holes if you are seating on the window seats but none for the passenger seating in the aisle seats. The seat was ok, it reclined fully and did it's job. I may have gotten a few hours sleep. The worst part was the screen and video. The touch screen barely worked. The remote was slow but did work, however, the screen resolution is worst than older box TV. The noise canceling headphone did cancel noise but every time there was turbulence, it made weird sound. Overall a good experience but could be improved. I like Polaris seating arrangement better. However, the wine and beer selection in Lufthansa is a tad better. ",Lufthansa
✅ Trip Verified ,,Couple Leisure,Economy Class,Frankfurt to Manchester,July 2022,1.0,3.0,3.0,4.0,,1.0,2,no,2,  Our 22.15 connecting flight from Frankfurt to Manchester in July 2022 was cancelled and there was no customer support provided. Everything closed and hundreds of stranded passengers sleeping on the airport floor. Lufthansa couldn't get us on a flight the next day so put us in a hotel miles from the airport (they paid the taxi). Finally got to Manchester 44 hours late. Very poor customer service and a terrible experience. After 11 months Lufthansa finally paid 600 euros compensation plus 70 euros for delayed baggage.,Lufthansa
✅ Trip Verified ,A320,Couple Leisure,Economy Class,Frankfurt to Helsinki,August 2023,5.0,5.0,2.0,2.0,2.0,3.0,3,yes,7,"  Frankfurt – Helsinki return in Economy. Our journey started stressful with a bad self check-in in Frankfurt. First we didn’t get our boarding passes at the check-in kiosk, so we had to do this procedure again. And again typing e-mail addresses and more information. Then we had trouble with the baggage drop off. Finally we used the check in counter with Lufthansa staff and it worked. The flight itself was good with a nice crew and on-time arrival. The return flight was smooth: check-in in Helsinki was fast and easy, staff was helpful. Onboard experience was fine: again a nice crew and punctual arrival in Frankfurt. Economy seats in Lufthansa’s A320 are comfortable, but there were no power outlets and no IFE screens. Wi-Fi worked so-so. And you have to pay for everything except water.",Lufthansa
✅ Trip Verified ,Boeing 747,Business,Business Class,Frankfurt to Bangalore,September 2023,2.0,2.0,3.0,2.0,2.0,4.0,3,no,5," Interior design looks poor and from another generation. In business class, if you sit in the last seats, there is high probability to not get the meal you want. Crew is friendly but you really feel that this is a show or fake. Entertainment system is one of the most poor user friendly systems, the content is ok. But the remote control is not good, the screen luminosity is poor and the the browsing of films is made only for people with good eyes. Screen font are so small. Pictures of the films are so tiny, that I gave up watching a movie and went to sleep. The seats are on, but when 180 flat, it is very narrow for the legs. No mattress offer.",Lufthansa
