Passenger Name,Review Date,Airline Name,Airline Average Rating,Cabin Flown,Passenger Overall Rating,Overall Value for Money,Seat and Cabin Space,Customer Service,In Flight Entertainment,Baggage Handling,Check-in Process,Meals and Beverages,Recommend Airline,Passenger Review Text
Hoainam,"August 29, 2019",Hong Kong Airlines,4.7,Flew Economy Class,1.0,1,1,1,1,1,1,1,No,"booked a flight from LAX to SGN, laying over in HKG. When I boarded from LAX to HKG, the agent checked my US passport and visa and didn’t say anything. I got to HKG and tried to board from HKG to SGN, the gate agent refused to let me board, claiming that I didn’t have enough blank page for immigration in Vietnam. I have traveled to Vietnam more than 10 times. I stayed that night in HK, came to the US Embassy first thing in the morning, got an emergency passport, with the sticker saying it’s a replacement for my old passport number. I called HK Airlines, paid them the rebooking, got a ticket for the flight to SGN, before the flight, HK Airlines refused boarding to me again, even with the new ticket and the new passport, claiming the visa doesn’t match the passport number, even with the sticker. They asked me to get an emergency visa, which cost me another $250. If there was a real problem, they should have stopped me from boarding at LAX, instead of trapping and stranding me and giving me all kind of hard time in HKG"
constandache,"January 8, 2017",Hong Kong Airlines,4.7,Flew Economy,7.0,4,4,5,2,,,5,Yes,on 31.12.2016 I flew from hk to shanghai. It was announced a delay of an hour but the plane eventually took THREE hours late !!! They were not offered any explanation !!!
Raymond,"October 30, 2016",Hong Kong Airlines,4.7,Flew Business,9.0,5,4,5,4,,,5,Yes,"Excellent Service on board.  Food was great.  The seats are pretty nice for regional flights, flat bed, although not fully reclined."
M,"August 24, 2016",Hong Kong Airlines,4.7,Flew Economy,1.0,1,1,1,1,,,1,No,This is the worst airline. They weigh carry-ons (but do not tell you upfront) then check the carry-on as checked baggage if it is over and then charge you outrageous fees. Horrible and will never use again.
Lewis,"May 29, 2016",Hong Kong Airlines,4.7,Flew Economy,4.0,4,3,3,3,,,1,No,"flew HKG to PDG. price was right.one flight one time, one delayed, causing me to miss the last airport bus and had to taxi. IFE was ok. Food was absolute disgrace – absolutely inedible dimsum, cold dumpling with stuffimg that looks like mystery meat. Tastes unfresh. Worst airport food Ive seen, same as when I flew with this airline to Okinawa last year too. On that flight, seems the pilot was tipping his joysticj left to right with little wind on landing. Plane was wobbly and cabin suddenly silent, petrified. What a feelimg of relief when landed."
Celina,"March 26, 2016",Hong Kong Airlines,4.7,Flew Economy,10.0,5,5,5,5,,,5,Yes,"this airlines is sooo amazing!!!!! we flew from beijing to shanghai and from shanghai to hongkong with hongkong airlines and everything was excellent. The most important thing is that we flew on international planes in national flights, that’s amazing! and the price was around 90dlls each!"
jim,"January 24, 2016",Hong Kong Airlines,4.7,Flew Economy,4.0,2,3,3,0,,,0,No,I recently took a flight on Hong Kong Express from KMG to HKG and I found two incidents that were so incredible I have to write and let other flyers know.  So be aware when you choose Hong Kong Express on your next trip.
Keith,"October 12, 2014",Hong Kong Airlines,4.7,Flew Economy,9.0,4,4,5,4,,,5,Yes,Airbus A320. Shanghai to Hong Kong. Departed on time from Shanghai at 08.00 and arrived into Hong Kong at 10.20. Breakfast was very good and the Cabin Crew were very good offering extra coffee and tea and a blanket if you required one. The aircraft was economy seating only as no business class fitted. This is the third time I have flown with Hong Kong Airlines between Hong Kong and Shanghai and return. The two previous times were on Airbus A330 aircraft. The first two times they bus you to Aircraft from the terminal at Hong Kong and bus you back to the terminal after arriving back in Hong Kong. This last flight the aircraft went to the terminal and we exited into the terminal. Overall good airline to fly with without any hassles.
Camille,"July 17, 2014",Hop,5.0,Flew Economy,10.0,5,5,5,0,,,5,Yes,We flew from Bordeaux to Rome. Our flight was inexpensive and we read many bad reviews but I’m pleased to report that everything went very smoothly. The flight left on time and there were no hidden charges. Our flight attendants smiled more than I’ve ever seen flight attendants smile. It was a very pleasant trip and I would highly recommend this airline.
Chris,"January 7, 2014",Hop,5.0,Flew Economy,0.0,1,0,1,0,,,0,No,STAY AWAY FROM HOP
Claudio,"August 25, 2017",Hunnu Air,9.0,Flew Economy Class,9.0,5,5,5,4,,,4,Yes,"A great experience travelling from Ulaanbaatar (Mongolia) to Choibalsan (Mongolia) and back with Hunnu Air. Both flights were on time and the staff were polite and efficient – I was amazed by how quickly we were able to board and by the fact that we were in the air literally a couple of minutes later! The only item missing was an onboard meal (we were only given a drink and a packet of dried fruit and nuts), though I believe they offer this on international flights and it would be unreasonable to expect this given the low price of the flight."
Tim,"August 9, 2023",Iberia And Iberia Express,2.6,Flew Economy Class,1.0,1,1,1,1,1,1,1,No,Terrible. Our bags lost twice in three days and made to wait days for their return thereby ruining our trip. The fact that at San Sebastián there was a lady waiting for the four people whose bags had not been put on their flight and at Rome there were over forty people says everything. If you fly Iberian send your bags by mail! This is probably also why most passengers take way to much cabin baggage which the crew push into overhead lockers and force you to have under the seat in front of you so you have no leg space. Don’t fly Iberian.
Miguel,"July 12, 2023",Iberia And Iberia Express,2.6,Flew Premium Economy Class,1.0,1,2,1,2,,1,3,No,"Without a doubt, this has been the worst flight experience I have ever had; On April 5th, my wife and I traveled from Mexico City to Madrid (Flight IB 6402). Upon arriving at Barajas Airport, we proceeded to the baggage claim area, and after waiting 1.5 hours, we went to the Iberia counter to file a complaint. They provided us with a receipt that had no logo or much information that could identify them, It should be noted that none of the passengers on this flight received their luggage. The luggage was delivered 3 days later. I initiated the process of filing a complaint once that I got back to Mexico City;   Iberia showed some initial willingness to provide a refund, they requested my bank account information and copies of the expenses incurred. However, after I sent them all the required information, they stopped responding to my emails. My suggestion is to use alternative reliable airlines; At the end of the day, the costs incurred due to Iberia’s terrible service turn out to be higher than buying tickets with a more reliable airline."
julia,"March 2, 2023",Iberia And Iberia Express,2.6,Flew Economy Class,1.0,0,0,0,0,,,0,No,"Iberia’s communication is outrageous.. I make a reservation in January (transoceanic flight) I make the payment through the page, everything seems correct, I receive an email with the flight details, locator, price, do not forget to travel documented, your luggage .. The title of the booking confirmation email. BUT somewhere in the email it mentions that I have made the reservation but that I must make the final confirmation of my ticket within 3 days. ? ? Gentlemen, communicate clearly with your customers!! It seems unbelievable that a national airline uses the RESERVATION CONFIRMATION title (for a reservation that could not be completed and as they have explained to me in customer service not finalised due to a payment error) vs. RESERVATION CONFIRMED when everything goes well. If the payment does not go through, say it in the website!. Called Customer Service 3 times, 0 flexibility and refer me to book a new flight, I am even thinking you do it like this to get more money from last minute bookings."
Erika,"August 2, 2022",Iberia And Iberia Express,2.6,Flew Business Class,1.0,0,0,0,0,,,0,No,"July 27, 2022, flight from Orly to Madrid at 10h15, my 87 yr old parents were flying  on business back to San Juan, PR., Upon check in , the Iberia agent tells me that he cannot send the luggage through and that my parents had to collect them in Madrid and go through check in again for their connection. This was not acceptable. The situation was extremely stressing because they were only starting their long trip and already there were problems; finally a check-in manager came and resolved the issue. Another problem then, the agent did not want to provide the connecting boarding pass. The manager came back again to give the connecting boarding pass. All this lasted one hour standing in the counter; In the past years I have had issues with Iberia with customer service which is non- existent and the agents at Orly counter are not trained at all and are not professional. I will avoid this airline at all costs. Thankfully the check-in manager was there to resolve the issue."
Sam,"June 21, 2022",Iberia And Iberia Express,2.6,Flew Economy Class,1.0,1,1,1,2,,3,0,No,"It was not what I expected from an airline . Somehow i got connected flight from Madrid to Washington . The craft kind of old but I am sure it was safe .Never at any point I was able to hear clearly any of the announcement , The Captain never welcome or address passengers, The quality of the meal was a big JOKE . Very poor quality a dog food looks much better and more appealing  the cheap woods spoon ,knife and fork give me a break . The crew after they serve the meal they disappeared , they never checked in anyone . Snak time was a lot worse than the meal . One of the crew member was dragging the  apple and the banana in plastic bag on the floor . Would i fly or recommend Iberia again most likely not ."
Daryl,"January 20, 2020",Iberia And Iberia Express,2.6,Flew Economy Class,1.0,1,1,1,1,1,1,1,No,-10 stars for Iberia and Madrid airport.
Sheila,"January 11, 2020",Iberia And Iberia Express,2.6,Flew Economy Class,4.0,3,4,2,0,,4,1,Yes,"This is our “local” airline. This review is about connecting flights from Lanzarote to Paris Orly via Madrid. We booked the day before to replace a flight messed up by the Paris strikes. Iberia staff were very helpful even at 5 am and kindly helped my husband to a wheelchair. The first flight was fine although everyone worried about short connections as it was delayed. But all Iberia gates were in a small area. Anyway, the next flight was delayed! The flight to Paris was not good. There was a lot of turbulence, but not continual. Crew cancelled ALL food and drink. They brought water for kids but nothing at all to the rest of us. My husband is diabetic and had depended on having lunch on board! He rang the bell when the turbulence light went out but nobody appeared for ages and ages. Then we were told that it was too late to supply anything! The reason given for the lack of service was safety – I accept that, but somehow it was considered safe enough to provide a full service in business class. How come??? My ratings reflect an average of the two flights. Still better than some, IMO."
Alessandro,"January 9, 2020",Iberia And Iberia Express,2.6,Flew Economy Class,1.0,1,1,1,2,3,3,2,No,"I flown from Milan To Lima via Madrid and back. The aircraft used for the long haul was dated, cabin dirty and Cabin crew rude. From Lima to Madrid the aircraft was in late due to some technical issue. Bad experience also with Customers service. Not recomanded"
sha,"December 8, 2019",Iberia And Iberia Express,2.6,Flew Economy Class,1.0,1,1,1,1,,1,1,No,"Had a late night flight to Barcelona, flight was delayed a few times, then cancelled just before midnight, did not receive a hotel voucher for almost 3 hours. Then put up in a cheap crappy hotel. next day still no flight. This trip was to be an experience/ opportunity of a lift time, I was presenting at a world conference. I would have been able to make great contacts, and it was a good opportunity get my foot in the door in a community that is very hard to get into. I would never, ever recommend this airline to  anyone."
Ashley,"October 8, 2019",Iberia And Iberia Express,2.6,Flew Economy Class,1.0,3,1,2,1,1,3,1,No,"The flight was 30min late boarding, 2 extra passengers issued boarding passes their baggage required unloading this delayed the flight by a further hour. Once in the air no inflight entertainment, Wi-Fi or music. 10 rows into food service they ran out of substantial snacks only junk left."
MASSIMO,"August 27, 2019",Iberia And Iberia Express,2.6,Flew Economy Class,5.0,1,1,3,1,3,1,2,No,"When I checked in at London Heathrow on Aug 22, the Iberia’s representative didn’t mention anything about the fact that my passport wouldn’t have been considered as valid by the Peruvian immigration authorities once arrived in Lima. Indeed, my passport is going to expire in 5 months (19 January 2020) but according to Peruvian regulation, of which all Iberia’s staff should be aware, the residual passport’s validity cannot be less than 6 months upon the arrival’s date. I booked the flights months ago and uploaded all the passport details back then. I went through several passport controls (at least 3) and again nobody told me anything so I got to Lima and only then, at the last passport control, I’ve been told I couldn’t enter the country. Eventually I was sent back to London. Me and my partner had to fly back and both lost a huge amount of money, not only the money we spent for flying from London to Madrid and from Madrid to Lima but also the one we spent for accommodation, transportation and on site tours. Furthermore, my partner had to pay ~$1,700 for booking the same return flight to London so to fly together."
Herger,"August 1, 2019",Iberia And Iberia Express,2.6,Flew Economy Class,1.0,1,2,2,3,1,1,1,No,"We used it to go from Milan to Colombia. Worst company we ever flight with. Now I tell you because you should never use this company: 1) Almost all the staff is very cold and not helpful at all. 2) We had to pay additional 120 (!!!) euros at the check in cause the luggage was “not included”. 3) For 10 hours flying you got advertisment (like Ryanair and low cost companies) and you have to pay for drinks. Is okay for a 2-3 hours flight….but what about 10 hours!?! 4) WHEN YOU TRY TO CHOSE YOUR SEAT THE WEBSITE ALWAYS GET “ERRORS”… SO YOU HAVE TO PAY AT LEAST 30 EUROS MORE (FOR EACH PERSON) IF YOU WANT TO BE SURE TO BE SEATED WITH YOUR GIRLFRIEND IN A 10 HOURS FLIGHT! 5) THe price is a bit cheaper than other companies, but NOT WORTH IT AT ALL! 6) The seats are very very unconfortable and small 7) Dirty screen and dirty toilets. 8) Worst food I ever had in my life (the chicken tasted like garbage)"
Alicia,"May 17, 2019",Iberia And Iberia Express,2.6,Flew Economy Class,1.0,1,3,1,4,,1,3,No,"This was, by far, the worst experience I’ve had with an airline. We were sold a flight from Boston to Porto with a 1 hr layover in Madrid. We were held on the first plane for 40 minutes for unknown reasons, causing our connecting flight to start boarding before we got off the first plane. We were given standby tickets for the next flight (4 hours later) and didn’t get on as there were 10+ other people in the same predicament. The staff at the Iberia customer service were rude, disrespectful, and didn’t help us. Finally we got onto another flight by calling (3 times) and got to Portugal 8 hours after we were supposed to. Very frustrated and disappointed"
Anthony,"April 16, 2019",Iberia And Iberia Express,2.6,Flew Economy Class,1.0,1,1,1,1,1,1,1,No,"This is the worst Airline I’ve ever used or seen!!! Do not use! From Start to Finish, this Airline is full of disappointment and incompetent staff. We purchased tickets for 2 and they sit us separately stating you have to pay to sit together. We then upgraded seats to avoid this problem again for our Return Trip and the Check In Staff Prints Inferior Seats and Iberia cannot give me the seats I paid for!!! And what’s even Worst is the Staff in the plane are so lazy and so incompetent; there was kids jumping on seats and running out around like it was a park and they did nothing!!! So Unprofessional, DO NOT USE THIS AIRLINE, YOU WILL SAVE YOURSELF FROM A BIG HEADACHE."
PANTELIS,"February 28, 2019",Iberia And Iberia Express,2.6,Flew Economy Class,1.0,2,2,1,2,1,2,1,No,"During boarding time, Iberia forced us to put our carry-on luggage in the airplane and not the overhead compartments because they had filled up. We were in the last zone to board the plane. When we got home, $2,039.16 worth of electronics, accessories and other belongings of mine and my family’s were stolen. In addition to this sum, I had also paid 180 euros for the stolen glasses and 280 euros for the sunglasses to have them prescription-ed in Greece before I left."
kate,"August 31, 2023",Icelandair,3.2,Flew Economy Class,1.0,1,3,1,0,,3,1,No,"I wouldn’t fly Icelandicair if you want your luggage to arrive with you. I checked my bag 4.5hrs before flight on Aug 17 from Reykevik to Denver. It never arrived and sat in denver 4 days whie they tried to figure out where Flagstaff, Arizona was (6 flights daily denver to flag via american airlines. Then stupidly sent it to Tucson where it still sits a week later (8/24) and they refused to cover minimal delay compensation. They absolutely suck you get what you pay for and it ends up costing you more in time trouble money and emails than flying with a more reputable airline which do correct their mistakes when they occur such as delayed or lost BAGGAGE."
James,"August 18, 2023",Icelandair,3.2,Flew First Class,2.0,1,1,1,2,,1,1,No,"Denver to Iceland, Iceland to Amsterdam, Amsterdam to Denver Classes flown: Saga and Economy"
Edward,"July 6, 2023",Icelandair,3.2,Flew Business Class,2.0,1,1,3,0,1,1,0,No,"My wife and I purchased Business Class tickets but were downgraded to Economy due to aircraft availability during tourist season. We were informed that we are entitled to a refund in accordance with Article 10 of Regulation (EC) No 261/2004 on air passenger rights: 50% of the ticket charge within Europe of more than 1500km. This is the second time this has happened to us on this trip, and we feel it has broken our trust. Buyer beware…Icelandair treats its customers as numbers, as Iceland’s chief means of income is tourism. They don’t care about YOU; they care about your money."
Carsten,"March 4, 2023",Icelandair,3.2,Flew Business Class,1.0,1,0,0,0,,1,0,No,"Terrible airline, messed up my reservations big time, cost me a fortune to reschedule, offered nickles and dimes as compensation. If crossing the Atlantic, and Icelandair is your only option, put on a life west and swim."
Mustapha,"June 12, 2020",Icelandair,3.2,Flew Business Class,2.0,1,1,1,1,1,1,1,No,"I bought a ticket on business class through Edreams company, with Icelandair to travel to Geneva, through Iceland capital on 31 May 2020. But some days before the flight I received a cancellation notice of the flight from Icelandair, while I cancelled my accommodation lease for that date in New York, trusting the company Icelandair and thinking that I will be travelling on that date, which caused me a lot of trouble after, because  I couldn’t travel on the 31st of May. And I am blocked now in New York, because of Icelandair and Edreams."
Ariline,"March 30, 2020",Icelandair,3.2,Flew First Class,9.0,4,4,4,3,4,4,4,Yes,Fab u Lous!
Michael,"March 3, 2020",Icelandair,3.2,Flew Premium Economy Class,2.0,1,1,3,1,3,1,1,No,"If you’re elderly, you’re screwed: When you finally (after a 20-minutes walk!) get to the gate you tell the “gatekeeper” that, “I’m going to need extra time walking into the plane because of my back, “Can I board early? “Yes, you’ll be called early.” I was never called and the line started to move. BOTTOM LINE:  THERE WAS NO SUCH  THING AS “early boarding for the handicapped.” NO ONE WITH A HANDICAPPED WENT IN EARLY SO THEY COULD BOARED  WITHOUT THE MAD RUSH OF FELLOW PASSENGERS! ICELANDAIR DOES NOT BELIEVE IN THE NEEDS OF HANDICAPPED FOLKS. —-THIS IS NOT OUR FIRST EXPERIENCE WITH THIS STUPID ICELANDAIR  MINDSET. Stupid is as Stupid Does?"
Melpomeni,"February 27, 2020",Icelandair,3.2,Flew Economy Class,1.0,1,1,1,1,1,1,1,No,THIS IS THE WORST AIRLINE EVER!!!!!!
Brian,"January 23, 2020",Icelandair,3.2,Flew Economy Class,1.0,0,0,3,2,4,4,0,No,"Worse than Ryanair – yep, that bad!  My wife and I had booked flights from Glasgow to Denver and returning from Tampa to Glasgow.  Icelandair cancelled the return leg from Tampa and re booked us on flights from Orlando to Glasgow, some 85 miles away.  I enquired whether there would be any transport available from Tampa to Orlando but was told the only option was to cancel the whole booking.  We were also more than surprised to find that no meals were included on the flights to and from America and that the seat spacing and leg room was much less we would have expected on a transatlantic long haul flight.  A very basic, no frills service, and extremely poor value for money"
Timothy,"September 29, 2019",Icelandair,3.2,Flew Economy Class,1.0,1,0,1,0,,,0,No,"Booking travel with IcelandAir, exercise caution. In April, we bought from IcelandAir to celebrate our twins’ graduation from HS. In mid May I had a stroke. My doctors said not travel as my recovery is 9-12 months. We called IcelandAir asking for a refund. We were told no, but our option would be to change our tickets. They had to be used by April.  We asked to speak with a manager and were told no. We proceeded to email about an option to have 60 days to rebook. The agent said the system would’t allow this to happen. I asked could they make the decision to override the system as my recovery would take longer.  We were told no. I found the dept mgr and director of customer service. I emailed the mgr and received no response.  Two weeks later, I emailed the director receiving no response."
Chelsea,"June 26, 2019",Icelandair,3.2,Flew Economy Class,9.0,5,5,5,5,5,5,4,Yes,"Excellent customer service. Very comfortable planes, reasonable prices."
NV,"May 5, 2019",Icelandair,3.2,Flew Economy Class,1.0,1,1,1,3,1,1,1,Yes,Horrible airline. Will never fly again.
Marian,"September 25, 2018",Icelandair,3.2,Flew Economy Class,1.0,1,1,0,4,,,1,No,"I had a terrible flight experience with this company. – they downgraded my ticket twice without notification so I had to pay 120 $ from Montreal for 23 kg luggage and 88 Euros from Paris for the hand luggage. – they claim the soft-drink is free. It is not. First half of glass of Pepsi is free but you have to pay for the second one; – food is terrible and expensive. Few passengers actually order food; – water that I got went bad, probably because was bottled long time ago. – I cannot rate the flight attendants because most of the time they have nothing to do; – in Iceland boarding and debarking were done on the tamarack because the airport was full of obstacles which made impossible for the airplane to make to the terminal; – Icelandair officials are not able to give right information and what is written on the boarding pass does not always coincides with where the boarding takes place. – seats are not reclining and the space between legs is very small; – the only good thing is the entertainment sistem."
Chris,"September 20, 2018",Icelandair,3.2,Flew Premium Economy Class,1.0,1,1,1,1,,,1,No,"For over 3 months in advance of our trip, I attempted to contact IcelandAir about a concern I had with our names on our tickets not including our middle names. I tried calling IcelandAir which would either lead me to being hung up on due to high call volume, or being told I would have to wait over an hour on hold, and THEN, end up getting disconnected. The ONLY way I was able to contact ANYBODY at IcelandAir over 3 months before our trip was through TWITTER! That’s right. An airline’s ONLY WAY TO SPEAK TO CUSTOMER RELATIONS IS THROUGH TWITTER! IcelandAir’s website is still confusing, and their response to my basic question about ticket names was vague and unacceptable. They told me to “take responsibility.” I took responsibility by inquiring about this 3 1/2 months in advance. It’s not my responsibility for being confused and not able to get a proper response from the airline. That’s on IcelandAir. A couple of months later, after several more attempts at calling them, I had ANOTHER TWITTER CONVERSATION, which somewhat answered my question finally. I then picked out the seats I wanted and had an e-ticket for myself and my wife with our seats printed on it, only to find out the DAY BEFORE OUR FLIGHT HOME FROM EUROPE that those seats weren’t actually ours, and we’d be seated 15 rows apart! After dropping another $430 on business class seats, I ended up having to pay an additional $55 just so that we could sit in the seats we had already originally picked and had printed ON OUR TICKETS! We flew with FIVE OTHER AIRLINES within 2 weeks of our European trip, and had absolute ZERO issues with every other airline, and ONLY had issues with IcelandAir, that began and continued through over 3 1/2 months from booking until take off. The response I got over email (email!! AMAZING!! which was only available AFTER dropping $430 on business class seats) about our non-business class seats on our first leg flight was “we cannot guarantee any particular seat. We reserve the right to assign or reassign seats at any time, even after boarding of the aircraft as we sometimes have to change aircrafts.” Then why exactly did your website allow me to pick seats and then print them on our ticket!? They didn’t change aircrafts .We literally had nothing but extreme anxiety during our ENTIRE TRIP knowing that we would be flying with this terrible airline who has nobody to speak to in customer relations and could care less about the customer entirely anyway, which has been shown through their complete lack of responsibility. I will forever tell EVERYONE considering to fly with IcelandAir to LOOK FOR A DIFFERENT AIRLINE, because ICELANDAIR IS A NIGHTMARE!"
Wayne,"September 14, 2018",Icelandair,3.2,Flew First Class,1.0,1,0,0,0,,,0,No,"I am a seasoned traveler both business and pleasure over the last 45 years. I am retired now but reached a point of absolute confusion regarding my paid reservation with Icelandair. I totally understand that most, if not all, airline tickets are non-refundable but on those few occasions I have had to cancel a flight I have always received a future credit although it had to be used within 12 months. First what I did not know the 12 month date was from booking not the flight reservation date. I do not think it has always been that way but not hear to argue that. My story is that I was joining my wife on a two week business trip to Iceland, London and Amsterdam. She has does this every September including this year. I have joined her before on this trip. We book the trip in April for a September departure. I upgraded my self this time and my total airline ticket cost was over $2400. Recently my eight year old black Labrador retriever has developed cancer and there is no remedy. He is terminal but had a few months to live. Unfortunately the my trip to Iceland had to be cancelled because he needs to be taken care of and no boarding establishments wants to take him because it is too much responsibility. I called Icelandair and explained the situation and they said I could get a credit but had to be used by my original booking date in April. My wife only does this trip once a year in September and I have no reason to fly Icelandair except accompanying wife on her business trip in September. I explained all this to them but they had no remedy the credit MUST be used by April 2019. I explained I had upgraded and very politely asked them if they could consider an exception because apparently they do these on occasion. They came back with a blunt NO. Why is that the airlines have to treat people this way? They wonder why people are always upset and mad at them and the one time they could show a little humanism they can’t even consider it. $2400 is not a cheap deep discount fare. Why do they act like this? How would this hurt them? Why do they want me to spend the rest of my life trying to hurt their business and say negative things of them. Did they think I was make the story up. Even worse. Bottom line this is legal theft. What other businesses get to operate this way?"
sam,"March 9, 2023",Indigo,3.6,Flew Economy Class,3.0,2,3,3,0,,1,0,No,"Extortion is the name of the game. You can not check in without buying a seat. of course you only find that out 24h before you fly, not when you book. even the middle seats cost and to trick you they only show expensive seats available – but when boarding you realize half the plane is empty. Forget taking luggage. it will cost you more the the ticket itself. the only good thing about this airline is the new fleet with AB 320 neo."
Nayan,"March 4, 2023",Indigo,3.6,Flew Economy Class,1.0,1,1,0,1,4,1,3,No,They don’t display free seats during web check in and entire seats are displayed as paid seats . Worst seats are not allocated even if one opts for Auto check in . You need to arrive early at the airport and check in thru kiosk or pay at the counter wherein seats are allocated on different rows even to couples traveling together unmindful of their medical needs . Have written to aviation ministry to formulate guidelines and policy for display of 75% seats as free seats during web check in and allocation of adjoining seats to couples / families/family with children travelling together. No surprise it’s tagged the worst airline
Kelly,"November 2, 2022",Indigo,3.6,Flew Economy Class,1.0,1,3,2,0,1,1,1,No,"This airline’s baggage fee scam is just horrible. What they are doing is borderline extortion. I had to pay $162 usd worth of baggage fees for a $159 flight. Their website is not user-friendly. Spent hours trying to do research and going through their website just to add a bag. I tried everything to not have a nightmare at the airport, but it happened anyway. DO NOT use them!"
Ganesh,"January 4, 2022",Indigo,3.6,Flew Economy Class,5.0,3,3,2,0,4,4,2,Yes,"I often fly with IndiGo during my visits to India. My last flight with them was in September 2021 on the Hyderabad-Mumbai sector. You get your money’s worth in IndiGo. The airplanes, all very new A320 NEO/A321 NEO can already look somewhat tired sometimes, but they are quite clean. The crew are quite mixed. Some are friendly but most seem very distant and uncaring. Their onboard meals are all overpriced, so I never buy them. On the occasions that I have bought them, I’ve found them to be below average. IndiGo should realise that we Indians take our food seriously, and have high standards in this area. Overall an ok carrier for short 1-2 hour flights. I would not fly them on longer hauls."
Vipin,"January 4, 2022",Indigo,3.6,Flew Economy Class,1.0,1,1,0,0,,,0,No,"I booked a ticket on INDIGO on 03JAN22 for 05JAN22 Cochin to Dubai at departure time 0030 local time but after the booking I get an SMS stating the departure time on 05JAN22 is 1300 local time which is a delay of almost 13 hours. and do not serve my purpose for the day. Their website had a problem then why should I suffer for it, hence I requested a full refund for which they are not willing to give. I called them and after talking to their customer service for 01 hour or more, she (Simran), would not give a full refund, neither solve the issue nor let me speak to her manager and want me book for another date. From her I understood that the 04JAN22 flight was cancelled and they rescheduled the 05JAN22 flight; which I did not want due to the change in timing and fly with another airline as I have to reach on 05JAN22 early morning."
Rajib,"February 25, 2020",Indigo,3.6,Flew Economy Class,10.0,5,4,5,4,5,5,4,Yes,I had a flight from Kochi to Chennai on 08 Feb 2020. Both on ground and in flight experience was amazing. I will always try to use INDIGO as much as possible. Rajib Roy Barman
Raj,"December 29, 2019",Indigo,3.6,Flew Economy Class,1.0,1,1,1,1,1,1,1,No,"Indigo is the worst airline to fly with please stay well away. The service is very poor, the staff are very rude and if you have any issues you will be ignored. In August 2019 I was travelling  with my 77 year old mother who has severe arthritis. We missed our connecting flight due to indigo’s flight being late. We were travelling from Dubai to Delhi then a connecting flight from Delhi to Amritsar all with indigo. Our Indigo flight from Dubai landed 40 minutes late in Delhi. We rushed to catch our connecting Indigo flight to Amritsar but was told buy a indigo manager at Delhi airport that the plane had already taken off. I was told you have arrived late the gate is closed and there’s nothing I can do. I explained our indigo flight from Dubai was late but without checking was told I’m lying and that the flight was not late. I tried to explain my situation but was told I should buy a new ticket. We then had to get a taxi from Delhi to Amritsar. This was the worst experience we have ever had. PLEASE DON’T FLY WITH THIS AIRLINE"
K SUNIL,"December 25, 2019",Indigo,3.6,Flew Economy Class,1.0,1,1,1,1,1,1,1,No,INDIGO KEEPS ME HUNGRY ON CHRISTMAS EVE DESPITE PRE-BOOKING MY MEALS
ratnabali,"December 8, 2019",Indigo,3.6,Flew Economy Class,1.0,2,3,1,1,2,,1,No,"Horrible airline.  Instead of selling one ticket for my Kolkata-Tituchirappalli journey, I was forced to buy 2 separate tickets for Kolkata-Chennai and Chennai-Tiruchirappalli flights.  They do not sell a single ticket when there is a change of aircraft.  If the first flight is late, the second flight ticket becomes null and void. Also, they charge any excess baggage twice.  They charge kg of excess baggage per ticket, Rs 400 per kilo independent of distance flown. As they only sell separate tickets for change of aircrafts, the baggabe charge multiplies. As I had two separate tickets the baggage charge would be 2X Rs 400 = Rs 800 per kg.  No food  was served in the economy class.  The airline employees were also unfriendly."
Shweta,"December 8, 2019",Indigo,3.6,Flew Economy Class,1.0,1,1,1,1,1,1,1,No,"Dear Customer, The services for this airline is very poor. Please do not book any tickets from this airline, in case you miss your flight they will never refund your amount neither will book any tickets for you. Same has been happened with me. The very poor airline experienced by me."
Thomas,"November 23, 2019",Indigo,3.6,Flew Economy Class,8.0,4,3,4,3,4,4,3,Yes,"The colour indigo is fresh and happy – even saying the word out loud makes me smile. The airline IndiGo is no different. Keeping in mind that this is a low-cost carrier, it was virtually impossible to tack any negativity onto this airline. They embrace a fun outlook on just about everything, from their inflight magazine, titled ‘6E’ (pronounced ‘sexy’), to their luggage buggies on the tarmac, called ‘Ground Force’."
Shweta,"November 19, 2019",Indigo,3.6,Flew Economy Class,1.0,1,1,1,1,1,1,1,No,My experience with Indigo flight on 11/11/2019 Regarding PNR: ZDGYJY and PNR:JDV4QV Date: 11th Nov 2019
Deepak,"August 20, 2019",Indigo,3.6,Flew Economy Class,1.0,0,0,0,0,,,0,No,Refused to check in even 1 hrs before departure. Un responsible behaviour fro airport staff and even higher management supporting them. Fully mis-managment and mis-coordination with the airport authority staff. Even for international flight no status on Airport status display board. After all higher management even trying to blame me. They should behave himself otherwise every one now what happened with kingfisher airline and jet airways.
Mathew,"August 15, 2019",Indigo,3.6,Flew Economy Class,1.0,3,3,3,1,3,4,1,No,My wife and I chose Indigo Airlines as suggested by a travel agent for a 10 day holiday to Turkey. We were shocked on boarding the Delhi to Istanbul aircraft to see that IT HAD NO INFLIGHT ENTERTAINMENT. The 7 hour flight was a torture. And just like domestic flights they had no food to cater for an international flight. Just hot water to be poured into instant noodle and instant upma cups all charged at exorbitant rates in US Dollars. So Charges in international rates but same domestic standards.
